course_code,course_name,description,credit,course_level,is_compulsory
CIA4U,Analysing Current Economic Issues,"This course examines current Canadian and international economic issues, developments, policies, and practices from diverse perspectives. Students will explore the decisions that individuals and institutions, including governments, make in response to economic issues such as globalization, trade agreements, economic inequalities, regulation, and public spending. Students will apply the concepts of economic thinking and the economic inquiry process, as well as economic models and theories, to investigate, and develop  informed opinions about, economic trade-offs, growth, and sustainability and related economic issues. ",1.00,12,FALSE
CIC4E,Making Personal Economic Choices,"This course provides students with a fundamental understanding of a variety of key  economic issues and practices, helping them develop their ability to make informed  economic choices in their day-to-day lives. Students will examine practical financial  matters, such as personal budgeting, taxes, credit and debt, and savings and investment, as well as various economic issues, such as those related to the underground economy, economic inequality, and consumer behaviour. Students will apply the concepts of economic thinking, the economic inquiry process, and economic models to investigate various  economic issues and structures and to analyse the impact of economic decisions, including their own decisions, at the individual, community, and national levels. ",1.00,12,FALSE
CGD3M,Regional Geography,"This course explores interrelationships between the land and people in a selected region as well as interconnections between this region and the rest of the world. Students will explore the region’s environmental, socio-economic, and cultural characteristics and will investigate issues related to natural resources, economic development and sustainability, population change, globalization, and quality of life. Students will apply the concepts of geographic thinking and the geographic inquiry process, including spatial technologies, to investigate a range of geographic issues in the region.",1.00,11,FALSE
CGF3M,Forces of Nature: Physical Processes and Disasters,"In this course, students will explore physical processes related to the earth’s water, land, and air. They will investigate how these processes shape the planet’s natural characteristics and affect human systems, how they are involved in the creation of natural disasters, and how they influence the impacts of human disasters. Throughout the course, students will apply the concepts of geographic thinking and the geographic inquiry process and use spatial technologies to analyse these processes, make predictions related to natural disasters, and assess ways of responding to them. ",1.00,11,FALSE
CGG3O,Travel and Tourism: A Geographic Perspective,"This course focuses on issues related to travel and tourism within and between various regions of the world. Students will investigate unique environmental, sociocultural,  economic, and political characteristics of selected world regions. They will explore travel patterns and trends, as well as tensions related to tourism, and will predict future tourism destinations. Students will apply the concepts of geographic thinking and the geographic inquiry process, including spatial technologies, to investigate the impact of the travel  industry on natural environments and human communities.",1.00,11,FALSE
CGT3O,Introduction to Spatial Technologies,"This course enables students to develop practical skills associated with spatial technologies and to investigate related career opportunities. Students will develop their ability to use geographic information systems (GIS), global positioning systems (GPS), and remote sensing technologies. They will apply the concepts of geographic thinking and the geographic  inquiry process when conducting fieldwork, collecting and organizing data, and analysing spatial images such as maps and aerial photographs. Throughout the course, students’  local context is emphasized.",1.00,11,FALSE
CGW4U,World Issues: A Geographic Analysis,"In this course, students will address the challenge of creating a more sustainable and equitable world. They will explore issues involving a wide range of topics, including  economic disparities, threats to the environment, globalization, human rights, and quality of life, and will analyse government policies, international agreements, and individual  responsibilities relating to them. Students will apply the concepts of geographic thinking and the geographic inquiry process, including the use of spatial technologies, to investigate these complex issues and their impacts on natural and human communities around the world. ",1.00,12,FALSE
CGU4M,World Geography: Urban Patterns and Population Issues,"The world’s population is growing, it is moving and intermixing, and it is increasingly found in cities. This course explores these changes and the challenges that come with them. It investigates the forces that are shaping the world’s communities, the patterns of interaction between them, the quality of life within them, and their impact on the world around them. Students will apply the concepts of geographic thinking, the geographic  inquiry process, and spatial skills and technologies as they investigate issues related to population change and urban life and propose ways of enhancing the sustainability of communities around the world.",1.00,12,FALSE
CGR4M,The Environment and Resource Management,"This course investigates interactions between natural and human systems, with a particular emphasis on the impacts of human activity on ecosystems and natural processes. Students will use the geographic inquiry process, apply the concepts of geographic thinking, and employ a variety of spatial skills and technologies to analyse these impacts and propose ways of reducing them. In the course of their investigations, they will assess resource management and sustainability practices, as well as related government policies and international accords. They will also consider questions of individual responsibility  and environmental stewardship as they explore ways of developing a more sustainable relationship with the environment. ",1.00,12,FALSE
CGO4M,Spatial Technologies in Action,"This course provides a foundation for students who are considering a career involving computer-based spatial technologies. Students will analyse and propose solutions to  real-life issues related to spatial organization, such as determining transportation routes, appropriate locations for community services, or potential conservation and preservation areas. Students will extend their ability to use geographic information systems (GIS), global positioning systems (GPS), and remote sensing and to create maps, charts, and graphs. Throughout the course, students will apply the concepts of geographic thinking and the geographic inquiry process to investigate various issues related to spatial organization. ",1.00,12,FALSE
CGW4C,World Issues: A Geographic Analysis,"This course explores many difficult challenges facing Canada and the world today –  challenges such as unequal access to food, water, and energy; urbanization; globalization; and meeting the needs of a growing world population while ensuring the sustainability of the natural environment. Students will explore these and other world issues from  environmental, social, economic, and political perspectives, while applying the concepts of geographic thinking, the geographic inquiry process, and spatial technologies to guide and support their investigations.",1.00,12,FALSE
CGR4E,Living in a Sustainable World,"This course examines the impact of human activity on the natural environment. Students will explore the use of natural spaces and resources and the effects of planning decisions and consumer choices on natural systems. Students will apply the concepts of geographic thinking and the geographic inquiry process, including spatial technologies, to investigate practical solutions to environmental issues, enabling them to make more sustainable  decisions at home, in the workplace, and in the local community.",1.00,12,FALSE
CHA3U,American History,"This course explores key aspects of the social, economic, and political development of the United States from precontact to the present. Students will examine the contributions of groups and individuals to the country’s evolution and will explore the historical context of key issues, trends, and events that have had an impact on the United States, its identity and culture, and its role in the global community. Students will extend their ability to apply the concepts of historical thinking and the historical inquiry process, including the interpretation and analysis of evidence, when investigating various forces that helped shape American history. ",1.00,11,FALSE
CHW3M,World History to the End of the Fifteenth Century,"This course explores the history of various societies and civilizations around the world, from earliest times to around 1500 CE. Students will investigate a range of factors that contributed to the rise, success, and decline of various ancient and pre-modern societies throughout the world and will examine life in and the cultural and political legacy of these societies. Students will extend their ability to apply the concepts of historical thinking and the historical inquiry process, including the interpretation and analysis of evidence, when investigating social, political, and economic structures and historical forces at work in various societies and in different historical eras. ",1.00,11,FALSE
CHE3O,Origins and Citizenship: The History of a Canadian Ethnic Group,"This course focuses on the history of people who came to Canada from a specific country or region. Students will explore historical developments and events in the group’s country of origin, the factors that influenced the decision of members of this group to emigrate, their historical experiences in Canada, and their contributions to Canadian identity and heritage. Students will apply the concepts of historical thinking and the historical inquiry process, including the interpretation and analysis of evidence, when investigating various aspects of the group’s history. Note: This course is to be developed and delivered with a focus, to be determined by the school, on the history of a specific ethnic group that now lives in Canada. However, with the school’s approval, teachers may wish to allow some students to focus on one group, while other students focus on a different group.",1.00,11,FALSE
CHT3O,World History since 1900:  Global and Regional  Interactions,"This course focuses on major developments in world history from 1900 to the present. Students will explore the causes and consequences of global and regional conflicts, the impact of significant individuals and social movements, and the effects of social, economic, and political developments around the world. Students will extend their ability to apply the concepts of historical thinking and the historical inquiry process, including the interpretation and analysis of evidence, when investigating interactions within and between nations and other historical developments and events, including those that continue to affect people in various parts of the world.",1.00,11,FALSE
CHI4U,"Canada: History, Identity,  and Culture","This course traces the history of Canada, with a focus on the evolution of our national identity and culture as well as the identity and culture of various groups that make up Canada. Students will explore various developments and events, both national and international, from precontact to the present, and will examine various communities in Canada and how they have contributed to identity and heritage in Canada. Students will investigate the development of culture and identity, including national identity, in Canada and how and why they have changed throughout the country’s history. They will extend their ability to apply the concepts of historical thinking and the historical inquiry process, including the interpretation and analysis of evidence, as they investigate the people, events, and forces that have shaped Canada.",1.00,12,FALSE
CHY4U,World History since the  Fifteenth Century,"This course traces major developments and events in world history since approximately 1450. Students will explore social, economic, and political changes, the historical roots of contemporary issues, and the role of conflict and cooperation in global interrelationships. They will extend their ability to apply the concepts of historical thinking and the historical inquiry process, including the interpretation and analysis of evidence, as they investigate key issues and ideas and assess societal progress or decline in world history. ",1.00,12,FALSE
CHY4C,World History since the  Fifteenth Century,"This course explores key developments and events in world history since approximately 1450, with a focus on interactions within and between various regions. Students will examine social, economic, and political developments and how they have affected different peoples. Students will extend their ability to apply the concepts of historical thinking and the  historical inquiry process, including the interpretation and analysis of evidence, when  investigating key turning points in world history and historical forces that have shaped our world.",1.00,12,FALSE
CHM4E,Adventures in World History,"This course examines significant developments and events in world history from earliest times to the present. Students will explore a variety of social, cultural, economic, and  political developments in different regions of the world and during different periods. In addition to investigating how conflict, religion, work, and technology have helped shape people’s lives, students will examine the contributions of some significant individuals to our global heritage. Students will apply the concepts of historical thinking and the historical inquiry process, including the interpretation and analysis of evidence, when investigating a variety of human experiences in world history.",1.00,12,FALSE
CLU3M,Understanding Canadian Law,"This course explores Canadian law, with a focus on legal issues that are relevant to the lives of people in Canada. Students will gain an understanding of laws relating to rights and freedoms in Canada; our legal system; and family, contract, employment, tort, and criminal law. Students will develop legal reasoning skills and will apply the concepts of legal thinking and the legal studies inquiry process when investigating a range of legal issues and formulating and communicating informed opinions about them.",1.00,11,FALSE
CLU3E,Understanding Canadian Law  in Everyday Life,"This course enables students to develop a practical understanding of laws that affect  the everyday lives of people in Canada, including their own lives. Students will gain  an understanding of the need for laws, and of their rights, freedoms, and responsibilities under Canadian law. Topics include laws relating to marriage, the workplace, cyberbullying, and criminal offences. Students will begin to develop legal reasoning skills and will apply the concepts of legal thinking and the legal studies inquiry process when investigating legal issues that are relevant to life in Canada today.",1.00,11,FALSE
CLN4U,Canadian and International Law,"This course explores a range of contemporary legal issues and how they are addressed  in both Canadian and international law. Students will develop an understanding of the principles of Canadian and international law and of issues related to human rights and freedoms, conflict resolution, and criminal, environmental, and workplace law, both in Canada and internationally. Students will apply the concepts of legal thinking and the legal studies inquiry process, and will develop legal reasoning skills, when investigating these and other issues in both Canadian and international contexts.",1.00,12,FALSE
CLN4C,Legal Studies,"This course provides a foundation for students who wish to pursue a career that requires an understanding of law. Students will explore the importance of law, analysing contemporary legal issues and their relevance to daily life. They will investigate the requirements for various law-related careers as well as legal responsibilities in the workplace. Students will apply the concepts of legal thinking and the legal studies inquiry process to investigate their rights and responsibilities, legal processes and structures, and the role of law in a changing society.",1.00,12,FALSE
CPC3O,Politics in Action:  Making Change,"This course enables students to develop plans for change in the local, national, and/or global community. Students will explore various issues, investigating their causes as well as their impact, and determining where change is needed, and why. They will examine the effectiveness of various problem-solving strategies used by individuals and groups that have brought about and/or are attempting to bring about political change in democratic societies. In addition, students will analyse the role and perspectives of governments and other stakeholders in relation to issues of political importance and will consider factors affecting their own and others’ political engagement. Students will apply the concepts  of political thinking and the political inquiry process as they investigate various issues  of political importance and develop a plan of action to address a selected issue. ",1.00,11,FALSE
CPW4U,Canadian and International Politics,"This course explores various perspectives on issues in Canadian and world politics. Students will explore political decision making and ways in which individuals, stakeholder groups, and various institutions, including governments, multinational corporations, and non-governmental organizations, respond to and work to address domestic and international issues. Students will apply the concepts of political thinking and the political inquiry  process to investigate issues, events, and developments of national and international  political importance, and to develop and communicate informed opinions about them. ",1.00,12,FALSE
ICD2D,Digital Technology and Innovations in the Changing World,"This course helps students develop cutting-edge digital technology and computer programming skills that will support them in contributing to and leading the global economic, scientific and societal innovations of tomorrow. Students will learn and apply coding concepts and skills to build hands-on projects and investigate artificial intelligence, cybersecurity, and other emerging digital technologies that connect to a wide range of fields and careers. Using critical thinking skills with a focus on digital citizenship, students will investigate the appropriate use and development of the digital technologies that they encounter every day, as well as the benefits and limitations of these technologies.",1.00,10,FALSE
ICS3U,Introduction to Computer Scienc,"This course introduces students to computer science. Students will design software  independently and as part of a team, using industry-standard programming tools  and applying the software development life-cycle model. They will also write and use subprograms within computer programs. Students will develop creative solutions for various types of problems as their understanding of the computing environment grows. They will also explore environmental and ergonomic issues, emerging research in computer science, and global career trends in computer-related fields. ",1.00,11,FALSE
ICS3C,Introduction to Computer Programming,"This course introduces students to computer programming concepts and practices.  Students will write and test computer programs, using various problem-solving strategies. They will learn the fundamentals of program design and apply a software development life-cycle model to a software development project. Students will also learn about computer environments and systems, and explore environmental issues related to computers, safe computing practices, emerging technologies, and post- secondary opportunities in computer-related fields. ",1.00,11,FALSE
ICS4U,Computer Science,"This course enables students to further develop knowledge and skills in computer  science. Students will use modular design principles to create complex and fully documented programs, according to industry standards. Student teams will manage a large software development project, from planning through to project review. Students will also analyse algorithms for effectiveness. They will investigate ethical issues in computing and further explore environmental issues, emerging technologies, areas of research  in computer science, and careers in the field. ",1.00,12,FALSE
ICS4C,Computer Programming,"This course further develops students’ computer programming skills. Students will learn object-oriented programming concepts, create object-oriented software solutions, and design graphical user interfaces. Student teams will plan and carry out a software  development project using industry-standard programming tools and proper project management techniques. Students will also investigate ethical issues in computing and expand their understanding of environmental issues, emerging technologies, and computer-related careers.  ",1.00,12,FALSE
